Point,Musigma,velocity,Coherence,Hcorr,range,azimuth,X,Y,Z
79,5.1346230507,0.3742272556,0.9819553494,6.882165432,3711.0,2103.0,110.6350791964,30.785104804,692.6431918871
80,8.0031881332,-1.1572636366,0.8630728722,-11.8787498474,4392.0,2201.0,110.6455969482,30.7993917664,592.9203286236
81,11.1010417938,-0.3503597975,0.9959204793,-4.1519999504,9743.0,1977.0,110.7658747374,30.7901567736,564.2758244956
82,11.1010417938,-0.3503597975,0.9959204793,-4.1519999504,9743.0,1977.0,110.7658747374,30.7901567736,564.2758244956
83,5.0696105957,0.2008257359,0.9811604023,-2.3010246754,10331.0,1833.0,110.7812583227,30.7741753513,498.3702948419
84,5.0696105957,0.2008257359,0.9811604023,-2.3010246754,10331.0,1833.0,110.7812583227,30.7741753513,498.3702948419
85,5.4072995186,0.6158905029,0.5961710215,-2.232749939,12172.0,1890.0,110.8180509791,30.7874266867,463.0689649889
86,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
87,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
88,5.1103034019,-0.167528972,0.981226325,-7.4790387154,4201.0,2140.0,110.6438374161,30.7912779001,638.4577019121
89,5.1103034019,-0.167528972,0.981226325,-7.4790387154,4201.0,2140.0,110.6438374161,30.7912779001,638.4577019121
90,5.1103034019,-0.167528972,0.981226325,-7.4790387154,4201.0,2140.0,110.6438374161,30.7912779001,638.4577019121
91,5.1103034019,-0.167528972,0.981226325,-7.4790387154,4201.0,2140.0,110.6438374161,30.7912779001,638.4577019121
92,6.3256559372,0.02501297,0.9877822399,-0.1750640869,10233.0,2096.0,110.7718019333,30.8063785474,482.4435696686
93,4.9586634636,-0.5040463805,0.8915046453,-1.2147362232,10216.0,1866.0,110.7794375247,30.7781122466,599.0199807715
94,6.3256559372,0.02501297,0.9877822399,-0.1750640869,10233.0,2096.0,110.7718019333,30.8063785474,482.4435696686
95,5.8874206543,0.0402755737,0.9229507446,-4.0530509949,10889.0,2353.0,110.779115546,30.8405198286,509.410820893
96,4.5480270386,1.7082023621,0.6308215857,2.2747650146,13416.0,2444.0,110.8288032382,30.8601983899,437.3228597566
97,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
98,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
99,3.9871032238,-0.2927059829,0.9290369153,2.2473006248,3373.0,2028.0,110.6304644671,30.7747290532,735.2661698088
100,7.5818343163,1.343132019,0.8642824888,5.9565443993,4352.0,2805.0,110.6268823359,30.8738522699,506.6412790734
101,7.5818343163,1.343132019,0.8642824888,5.9565443993,4352.0,2805.0,110.6268823359,30.8738522699,506.6412790734
102,7.5818343163,1.343132019,0.8642824888,5.9565443993,4352.0,2805.0,110.6268823359,30.8738522699,506.6412790734
103,6.3117628098,1.0075836182,0.7934741974,0.5480379462,5068.0,2802.0,110.6408104266,30.8757303658,400.5621999251
104,5.8874206543,0.0402755737,0.9229507446,-4.0530509949,10889.0,2353.0,110.779115546,30.8405198286,509.410820893
105,4.8549795151,-0.1750717163,0.9796175361,4.476600647,11029.0,2348.0,110.7818289958,30.8403168437,483.8537618294
106,5.4498105049,-0.8520812988,0.9211563468,5.5029373169,11043.0,2367.0,110.7815465499,30.8427079788,479.6640385669
107,4.5480270386,1.7082023621,0.6308215857,2.2747650146,13416.0,2444.0,110.8288032382,30.8601983899,437.3228597566
108,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
109,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
110,0.0,,,0.0,0.0,0.0,110.6008226349,30.5095988706,-1.16164e-05
111,8.1143007278,-1.3503761292,0.8410266042,0.504014492,4544.0,2913.0,110.6279990757,30.8878911547,501.0850562053
112,6.2476010323,0.7836608887,0.9872500896,0.1653627902,5059.0,2872.0,110.6400129726,30.88458114,485.3996467441
113,6.2476010323,0.7836608887,0.9872500896,0.1653627902,5059.0,2872.0,110.6400129726,30.88458114,485.3996467441
114,6.411233902,1.0828361511,0.6447228789,-6.923813343,5761.0,2943.0,110.6532089158,30.8958311701,484.7223438937
