unit,1_prob,unit_prob_mean,unit_risk_class,lisa_sig,lisa_type,risk_lisa_combo
88,0.623608018,0.062690325,低,TRUE,高-低,低-高-低
88,0.806335864,0.062690325,低,TRUE,高-低,低-高-低
88,0.398026269,0.062690325,低,TRUE,高-低,低-高-低
86,0.598407007,0.069957547,低,TRUE,高-低,低-高-低
86,0.434134598,0.069957547,低,TRUE,高-低,低-高-低
88,0.185168728,0.062690325,低,TRUE,高-低,低-高-低
88,0.217393469,0.062690325,低,TRUE,高-低,低-高-低
88,0.298120872,0.062690325,低,TRUE,高-低,低-高-低
86,0.763361775,0.069957547,低,TRUE,高-低,低-高-低
88,0.181653634,0.062690325,低,TRUE,高-低,低-高-低
89,0.809136419,0.022120585,低,TRUE,高-低,低-高-低
86,0.345580046,0.069957547,低,TRUE,高-低,低-高-低
86,0.769066344,0.069957547,低,TRUE,高-低,低-高-低
89,0.496425028,0.022120585,低,TRUE,高-低,低-高-低
86,0.20849314,0.069957547,低,TRUE,高-低,低-高-低
87,0.202483189,0.01728771,低,TRUE,高-低,低-高-低
87,0.338202724,0.01728771,低,TRUE,高-低,低-高-低
87,0.198983365,0.01728771,低,TRUE,高-低,低-高-低
86,0.27602684,0.069957547,低,TRUE,高-低,低-高-低
86,0.540661336,0.069957547,低,TRUE,高-低,低-高-低
85,0.201501158,0.018641049,低,TRUE,高-低,低-高-低
1,0.193122783,0.014445015,低,TRUE,高-低,低-高-低
85,0.197964031,0.018641049,低,TRUE,高-低,低-高-低
85,0.192965966,0.018641049,低,TRUE,高-低,低-高-低
85,0.25046926,0.018641049,低,TRUE,高-低,低-高-低
1,0.198709484,0.014445015,低,TRUE,高-低,低-高-低
1,0.182490074,0.014445015,低,TRUE,高-低,低-高-低
5,0.825599349,0.013046767,低,TRUE,高-低,低-高-低
80,0.208981096,0.035041437,低,TRUE,高-低,低-高-低
80,0.19558453,0.035041437,低,TRUE,高-低,低-高-低
80,0.207683022,0.035041437,低,TRUE,高-低,低-高-低
4,0.535693832,0.028844025,低,TRUE,高-低,低-高-低
80,0.249324434,0.035041437,低,TRUE,高-低,低-高-低
80,0.19509729,0.035041437,低,TRUE,高-低,低-高-低
84,0.609709513,0.025312703,低,TRUE,高-低,低-高-低
107,0.336064489,0.14864272,中,TRUE,高-低,中-高-低
7,0.259352299,0.139126653,中,TRUE,高-低,中-高-低
107,0.301906507,0.14864272,中,TRUE,高-低,中-高-低
6,0.2479812,0.340462853,高,TRUE,高-低,高-高-低
8,0.615707741,0.243241778,中,TRUE,高-低,中-高-低
82,0.280323093,0.223909556,中,TRUE,高-低,中-高-低
7,0.261356331,0.139126653,中,TRUE,高-低,中-高-低
82,0.22845012,0.223909556,中,TRUE,高-低,中-高-低
75,0.471185735,0.24669916,中,TRUE,高-低,中-高-低
107,0.686258938,0.14864272,中,TRUE,高-低,中-高-低
82,0.315494361,0.223909556,中,TRUE,高-低,中-高-低
82,0.199496899,0.223909556,中,TRUE,高-低,中-高-低
75,0.237309442,0.24669916,中,TRUE,高-低,中-高-低
107,0.437102533,0.14864272,中,TRUE,高-低,中-高-低
75,0.203705709,0.24669916,中,TRUE,高-低,中-高-低
7,0.832353138,0.139126653,中,TRUE,高-低,中-高-低
78,0.285805027,0.118985501,中,TRUE,高-低,中-高-低
75,0.252965295,0.24669916,中,TRUE,高-低,中-高-低
8,0.612381605,0.243241778,中,TRUE,高-低,中-高-低
75,0.185034474,0.24669916,中,TRUE,高-低,中-高-低
8,0.297283593,0.243241778,中,TRUE,高-低,中-高-低
77,0.350826288,0.140189855,中,TRUE,高-低,中-高-低
75,0.212931318,0.24669916,中,TRUE,高-低,中-高-低
76,0.425312798,0.149719202,中,TRUE,高-低,中-高-低
75,0.268435124,0.24669916,中,TRUE,高-低,中-高-低
8,0.660258536,0.243241778,中,TRUE,高-低,中-高-低
78,0.24353041,0.118985501,中,TRUE,高-低,中-高-低
76,0.221887335,0.149719202,中,TRUE,高-低,中-高-低
8,0.209361536,0.243241778,中,TRUE,高-低,中-高-低
74,0.321335917,0.21923331,中,TRUE,高-低,中-高-低
76,0.187082233,0.149719202,中,TRUE,高-低,中-高-低
73,0.191262818,0.100837527,中,TRUE,高-低,中-高-低
111,0.185598622,0.025508202,低,TRUE,高-低,低-高-低
8,0.234057082,0.243241778,中,TRUE,高-低,中-高-低
73,0.182932454,0.100837527,中,TRUE,高-低,中-高-低
73,0.182932454,0.100837527,中,TRUE,高-低,中-高-低
74,0.235701649,0.21923331,中,TRUE,高-低,中-高-低
74,0.181417046,0.21923331,中,TRUE,高-低,中-高-低
74,0.221512456,0.21923331,中,TRUE,高-低,中-高-低
74,0.258119269,0.21923331,中,TRUE,高-低,中-高-低
74,0.272744763,0.21923331,中,TRUE,高-低,中-高-低
73,0.465047342,0.100837527,中,TRUE,高-低,中-高-低
72,0.198660033,0.225831729,中,TRUE,高-低,中-高-低
72,0.219055317,0.225831729,中,TRUE,高-低,中-高-低
74,0.185135038,0.21923331,中,TRUE,高-低,中-高-低
73,0.288504568,0.100837527,中,TRUE,高-低,中-高-低
72,0.207430779,0.225831729,中,TRUE,高-低,中-高-低
73,0.26189618,0.100837527,中,TRUE,高-低,中-高-低
73,0.263846781,0.100837527,中,TRUE,高-低,中-高-低
72,0.532717638,0.225831729,中,TRUE,高-低,中-高-低
72,0.22280513,0.225831729,中,TRUE,高-低,中-高-低
73,0.483991279,0.100837527,中,TRUE,高-低,中-高-低
71,0.213750778,0.276354639,高,TRUE,高-低,高-高-低
74,0.373760761,0.21923331,中,TRUE,高-低,中-高-低
72,0.20536457,0.225831729,中,TRUE,高-低,中-高-低
71,0.214234036,0.276354639,高,TRUE,高-低,高-高-低
73,0.523243021,0.100837527,中,TRUE,高-低,中-高-低
72,0.211760845,0.225831729,中,TRUE,高-低,中-高-低
71,0.407706701,0.276354639,高,TRUE,高-低,高-高-低
71,0.19057212,0.276354639,高,TRUE,高-低,高-高-低
72,0.267665851,0.225831729,中,TRUE,高-低,中-高-低
71,0.190960472,0.276354639,高,TRUE,高-低,高-高-低
71,0.218180224,0.276354639,高,TRUE,高-低,高-高-低
71,0.319037539,0.276354639,高,TRUE,高-低,高-高-低
71,0.293814853,0.276354639,高,TRUE,高-低,高-高-低
71,0.227743206,0.276354639,高,TRUE,高-低,高-高-低
71,0.311473446,0.276354639,高,TRUE,高-低,高-高-低
71,0.299044608,0.276354639,高,TRUE,高-低,高-高-低
71,0.19126282,0.276354639,高,TRUE,高-低,高-高-低
71,0.24289834,0.276354639,高,TRUE,高-低,高-高-低
71,0.285416409,0.276354639,高,TRUE,高-低,高-高-低
71,0.183446594,0.276354639,高,TRUE,高-低,高-高-低
58,0.489339453,0.266821218,高,TRUE,高-低,高-高-低
113,0.181512419,0.188464243,中,TRUE,高-低,中-高-低
58,0.21975498,0.266821218,高,TRUE,高-低,高-高-低
58,0.323378282,0.266821218,高,TRUE,高-低,高-高-低
69,0.19851997,0.102532064,中,TRUE,高-低,中-高-低
113,0.290440137,0.188464243,中,TRUE,高-低,中-高-低
113,0.210866813,0.188464243,中,TRUE,高-低,中-高-低
58,0.215040361,0.266821218,高,TRUE,高-低,高-高-低
58,0.187681169,0.266821218,高,TRUE,高-低,高-高-低
60,0.230649537,0.183532125,中,TRUE,高-低,中-高-低
58,0.356430652,0.266821218,高,TRUE,高-低,高-高-低
113,0.850274641,0.188464243,中,TRUE,高-低,中-高-低
58,0.182665672,0.266821218,高,TRUE,高-低,高-高-低
58,0.182665672,0.266821218,高,TRUE,高-低,高-高-低
69,0.188309636,0.102532064,中,TRUE,高-低,中-高-低
66,0.184287046,0.116552576,中,TRUE,高-低,中-高-低
